 security/gosop , ✅(2s) 
 security/sodium , ❌(smoke) 
 security/stegcloak , ✅(7s) 
 security/grype , ✅(2s) 
 security/scorecard , ✅(2s) 
 security/lynis , ❌(env_try) 
 security/cfssl , ✅(2s) 
 security/ncat , ✅(1s) 
 security/ezcheck , ✅(1s) 
 security/horcrux , ✅(2s) 
 security/easyrsa , ✅(1s) 
 security/dnstwist , ✅(4s) 
 security/skate , ✅(2s) 
 email/himalaya , ✅(1s) 
 email/lark-cli , ✅(2s) 
 email/wecom-cli , ✅(2s) 
 filesystem/fd , ✅(1s) 
 filesystem/fselect , ✅(2s) 
 filesystem/ffsend , ❌(smoke) 
 filesystem/termscp , ❌(smoke) 
 filesystem/chezmoi , ✅(2s) 
 filesystem/croc , ✅(1s) 
 filesystem/trash-cli , ✅(6s) 
 filesystem/unoconv , ❌(smoke) 
 filesystem/diffoscope , ✅(14s) 
 filesystem/magika , ✅(12s) 
 filesystem/ncp , ✅(4s) 
 filesystem/zoxide , ✅(1s) 
 filesystem/difft , ✅(2s) 
 filesystem/syncthing , ✅(2s) 
 filesystem/bat , ✅(2s) 
 other/shx , ✅(2s) 
 other/funky , ✅(5s) 
 other/qrencode , ✅(1s) 
 other/sqlite-simple , ❌(env_try) 
 other/keep , ✅(8s) 
 other/wait-on , ✅(3s) 
 other/sqlite-xsv , ❌(env_try) 
 other/concat-md , ✅(4s) 
 other/coala , ✅(7s) 
 other/watchexec , ✅(2s) 
 other/qrcp , ✅(1s) 
 other/bash-preexec , ❌(smoke) 
 other/bcat , ✅(2s) 
 other/shelljs , ❌(env_try) 
 other/envsubst , ✅(2s) 
 other/nb.sh , ✅(1s) 
 other/emoj , ✅(4s) 
 other/carapace-bin , ✅(2s) 
 other/typos , ✅(1s) 
 other/sqlite-vss , ❌(env_try) 
 other/jupyterlab , ✅(19s) 
 other/ulp , ❌(smoke) 
 other/revive , ✅(2s) 
 other/firework-rs , ✅(2s) 
 other/cfn-lint , ✅(26s) 
 other/zsh-plugin , ❌(env_try) 
 other/mapscii , ✅(5s) 
 other/sncli , ✅(6s) 
 web-apitool/hurl , ✅(1s) 
 web-apitool/httpx , ✅(6s) 
 web-apitool/httpie , ✅(7s) 
 lang-js-ts/node , ✅(5s) 
 lang-js-ts/ts-node , ✅(5s) 
 lang-js-ts/tsx , ✅(2s) 
 lang-js-ts/deno , ✅(3s) 
 lang-js-ts/pm2 , ✅(4s) 
 lang-js-ts/nodemon , ✅(2s) 
 lang-js-ts/eslint , ❌(smoke) 
 lang-js-ts/hint , ✅(15s) 
 lang-js-ts/bun , ✅(4s) 
 lang-js-ts/concurrently , ✅(2s) 
 cloud-public/oci-cli , ✅(35s) 
 cloud-public/ibmcloud , ✅(2s) 
 cloud-public/qingcloud-cli , ✅(7s) 
 cloud-public/awscli , ✅(8s) 
 cloud-public/wrangler , ✅(7s) 
 cloud-public/tccli , ✅(28s) 
 cloud-public/azure-cli , ✅(42s) 
 cloud-public/drive , ✅(2s) 
 cloud-public/flarectl , ✅(1s) 
 cloud-public/hcloud , ✅(2s) 
 cloud-public/gcloud , ✅(17s) 
 cloud-public/linode-cli , ✅(7s) 
 cloud-public/scw , ❌(smoke) 
 cloud-public/create-cloudflare , ✅(4s) 
 cloud-public/vultr-cli , ✅(2s) 
 cloud-public/aliyun , ✅(2s) 
 cloud-public/qshell , ✅(1s) 
 cloud-public/fastly , ✅(2s) 
 cloud-public/ucloud , ✅(2s) 
 cloud-public/koocli , ❌(env_try) 
 cloud-public/firebase-tools , ✅(14s) 
 cloud-public/doctl , ✅(2s) 
 cloud-public/jdcloud_cli , ✅(22s) 
 cloud-public/heroku , ✅(24s) 
 cloud-public/athenacli , ✅(10s) 
 cloud-public/influx , ✅(2s) 
 test/hey , ✅(1s) 
 test/goss , ✅(2s) 
 test/py-spy , ✅(4s) 
 test/lakefs , ✅(5s) 
 test/oha , ✅(1s) 
 test/ffuf , ✅(2s) 
 test/loadtest , ✅(2s) 
 test/hyperfine , ✅(1s) 
 test/locust , ✅(11s) 
 db/iredis , ✅(7s) 
 db/etcd , ✅(2s) 
 db/influxdb , ✅(5s) 
 db/harlequin , ✅(18s) 
 db/migrate , ✅(2s) 
 db/mssql-cli , ❌(smoke) 
 db/gobackup , ✅(3s) 
 db/usql , ✅(5s) 
 db/lazysql , ✅(1s) 
 db/sqlfluff , ✅(15s) 
 sdkman/spark , ❌(env_try) 
 sdkman/flink , ✅(47s) 
 sdkman/activemq , ❌(env_try) 
 sdkman/infrastructor , ✅(5s) 
 sdkman/mulefd , ✅(1s) 
 sdkman/skeletal , ✅(3s) 
 sdkman/concurnas , ❌(smoke) 
 sdkman/mcs , ✅(2s) 
 sdkman/ant , ❌(env_try) 
 sdkman/gaiden , ❌(smoke) 
 sdkman/toolkit , ✅(2s) 
 sdkman/bpipe , ✅(3s) 
 sdkman/quarkus , ✅(2s) 
 sdkman/mvnd , ❌(env_try) 
 sdkman/kscript , ✅(7s) 
 sdkman/connor , ✅(2s) 
 sdkman/visualvm , ✅(2s) 
 sdkman/hadoop , ✅(67s) 
 sdkman/ktx , ❌(env_try) 
 sdkman/pierrot , ✅(2s) 
 sdkman/sbt , ✅(14s) 
 sdkman/micronaut , ✅(2s) 
 sdkman/pomchecker , ✅(2s) 
 sdkman/neo4j_migrations , ✅(2s) 
 sdkman/cxf , ❌(env_try) 
 sdkman/doctoolchain , ✅(3s) 
 sdkman/ki , ✅(3s) 
 sdkman/karaf , ❌(env_try) 
 sdkman/mybatis_migrations , ✅(5s) 
 sdkman/jmeter , ❌(env_try) 
 sdkman/coursier , ✅(3s) 
 sdkman/jbake , ✅(2s) 
 sdkman/maven , ❌(env_try) 
 sdkman/groovyserv , ✅(3s) 
 sdkman/kobweb , ✅(1s) 
 sdkman/gradle , ✅(5s) 
 sdkman/schemacrawler , ✅(9s) 
 sdkman/ballerina , ✅(8s) 
 sdkman/btrace , ✅(1s) 
 sdkman/layrry , ✅(2s) 
 sdkman/grails , ✅(8s) 
 db-mysql/mycli , ✅(19s) 
 db-mysql/mysql , ✅(22s) 
 natural-language/fanyi , ✅(7s) 
 natural-language/pypinyin , ❌(smoke) 
 natural-language/franc-cli , ✅(3s) 
 natural-language/jieba , ✅(6s) 
 natural-language/deepl , ✅(5s) 
 c++/cppman , ✅(6s) 
 cloud-tool/terraform , ✅(2s) 
 cloud-tool/rclone , ✅(3s) 
 cloud-tool/cloudlist , ✅(3s) 
 cloud-tool/s4cmd , ✅(8s) 
 cloud-tool/opentofu , ✅(3s) 
 cloud-tool/pyinfra , ✅(11s) 
 cloud-tool/s3cmd , ✅(4s) 
 cloud-tool/ansible , ❌(env_try) 
 data-json-yml/jc , ✅(13s) 
 data-json-yml/dasel , ✅(2s) 
 data-json-yml/jq , ✅(0s) 
 data-json-yml/gron , ✅(1s) 
 data-json-yml/strip-json-comments-cli , ❌(env_try) 
 data-json-yml/jless , ❌(smoke) 
 data-json-yml/gojo , ✅(1s) 
 data-json-yml/hcl2json , ✅(1s) 
 data-json-yml/yq , ✅(0s) 
 data-json-yml/fx , ✅(2s) 
 data-json-yml/ytt , ✅(2s) 
 data-json-yml/dyff , ✅(1s) 
 data-json-yml/jiq , ✅(1s) 
 data-json-yml/gojq , ✅(2s) 
 data-json-yml/jqp , ✅(1s) 
 scm/semantic-release , ✅(9s) 
 scm/dvc , ✅(40s) 
 file-disk/dust , ✅(2s) 
 file-disk/duf , ✅(1s) 
 file-disk/diskusage , ✅(2s) 
 file-disk/gdu , ✅(1s) 
 file-disk/smartctl , ✅(2s) 
 file-disk/ncdu , ✅(1s) 
 file-disk/godu , ✅(1s) 
 file-disk/dua , ✅(2s) 
 lang/go , ✅(3s) 
 lang/lua , ✅(1s) 
 lang/arturo , ❌(smoke) 
 lang/python , ✅(10s) 
 lang/tinygo , ✅(8s) 
 lang/kotlin , ✅(5s) 
 lang/scala , ✅(2s) 
 lang/mawk , ✅(1s) 
 lang/xgo , ✅(6s) 
 lang/d2 , ✅(3s) 
 lang/groovy , ✅(2s) 
 lang/julia , ✅(8s) 
 lang/java , ✅(1s) 
 lang/zig , ✅(6s) 
 lang/gop , ✅(2s) 
 container-kube/kube-capacity , ✅(2s) 
 container-kube/kube-score , ✅(2s) 
 container-kube/kind , ✅(1s) 
 container-kube/k9s , ✅(3s) 
 container-kube/cmctl , ✅(2s) 
 container-kube/helm , ✅(3s) 
 container-kube/kubectx , ✅(1s) 
 container-kube/k3d , ✅(2s) 
 container-kube/kube-linter , ✅(2s) 
 container-kube/minikube , ✅(4s) 
 common/zstd , ✅(1s) 
 common/ouch , ✅(1s) 
 common/busybox , ✅(2s) 
 common/7zz , ✅(2s) 
 common/dnote , ✅(1s) 
 common/7za , ✅(1s) 
 common/chsrc , ✅(1s) 
 common/jrnl , ✅(15s) 
 common/reviewdog , ✅(1s) 
 programming/tokei , ✅(2s) 
 programming/scc , ✅(1s) 
 osman/bpytop , ✅(12s) 
 osman/gotop , ✅(1s) 
 osman/joker , ✅(2s) 
 osman/nfpm , ✅(1s) 
 osman/viddy , ✅(2s) 
 osman/macchina , ✅(1s) 
 osman/hostctl , ✅(2s) 
 osman/zenith , ✅(1s) 
 osman/fkill-cli , ❌(env_try) 
 osman/tz , ✅(1s) 
 osman/proot , ✅(2s) 
 osman/nerdctl , ✅(2s) 
 osman/ismc , - 
 osman/iamlive , ✅(1s) 
 osman/procs , ✅(2s) 
 osman/sampler , ✅(1s) 
 osman/mirrord , ✅(3s) 
 osman/fastfetch , ✅(1s) 
 osman/osquery , ✅(11s) 
 osman/s-tui , ✅(5s) 
 osman/glances , ✅(5s) 
 osman/bottom , ✅(1s) 
 editor/sphinx , ❌(env_try) 
 editor/ov , ✅(2s) 
 editor/obs , ✅(1s) 
 editor/micro , ✅(2s) 
 editor/docsify-cli , ❌(env_try) 
 editor/nvim , ✅(2s) 
 editor/helix , ✅(3s) 
 editor/sops , ✅(2s) 
 entertainment/genact , ✅(2s) 
 entertainment/anidbcli , ✅(13s) 
 entertainment/shtris , ✅(1s) 
 data-line/fzf , ✅(2s) 
 data-line/skim , ✅(1s) 
 data-line/rg , ✅(2s) 
 data-line/peco , ✅(1s) 
 data-line/television , ✅(2s) 
 markdown-html/mdtsql , ✅(1s) 
 markdown-html/rumdl , ✅(2s) 
 markdown-html/monolith , ❌(smoke) 
 markdown-html/marp-cli , ✅(11s) 
 markdown-html/comrak , ✅(1s) 
 markdown-html/readability-cli , ✅(3s) 
 markdown-html/mermaid-ascii , ✅(2s) 
 markdown-html/glow , ✅(1s) 
 markdown-html/markitdown , ✅(22s) 
 markdown-html/mdcat , ✅(2s) 
 markdown-html/minify , ✅(1s) 
 markdown-html/mystmd , ✅(2s) 
 markdown-html/decktape , ✅(9s) 
 markdown-html/marked , ✅(1s) 
 markdown-html/stylelint , ✅(4s) 
 ssh/ssh-audit , ✅(5s) 
 ssh/assh , ✅(1s) 
 ssh/xxh-xxh , ✅(5s) 
