 scm-git-tool/lazygit , ✅(8s) 
 scm-git-tool/lefthook , ✅(6s) 
 scm-git-tool/onefetch , ✅(8s) 
 scm-git-tool/pre-commit , ✅(63s) 
 scm-git-tool/tig , - 
 sdkman/activemq , ❌(env_try) 
 sdkman/ant , ❌(env_try) 
 sdkman/ballerina , ✅(26s) 
 sdkman/bpipe , ✅(8s) 
 sdkman/btrace , ❌(smoke) 
 sdkman/concurnas , ❌(smoke) 
 sdkman/connor , ✅(6s) 
 sdkman/coursier , ✅(14s) 
 sdkman/cxf , ❌(env_try) 
 sdkman/doctoolchain , ✅(13s) 
 sdkman/flink , - 
 sdkman/gaiden , ❌(smoke) 
 sdkman/gradle , ✅(17s) 
 sdkman/grails , ✅(10s) 
 sdkman/groovyserv , ✅(7s) 
 sdkman/hadoop , - 
 sdkman/infrastructor , ✅(7s) 
 sdkman/jbake , ✅(8s) 
 sdkman/jmeter , ❌(env_try) 
 sdkman/karaf , ❌(env_try) 
 sdkman/ki , ✅(6s) 
 sdkman/kobweb , ✅(6s) 
 sdkman/kscript , - 
 sdkman/ktx , ❌(env_try) 
 sdkman/layrry , - 
 sdkman/maven , ❌(env_try) 
 sdkman/mcs , ✅(6s) 
 sdkman/micronaut , ✅(6s) 
 sdkman/mulefd , ✅(6s) 
 sdkman/mvnd , ❌(env_try) 
 sdkman/mybatis_migrations , - 
 sdkman/neo4j_migrations , ✅(6s) 
 sdkman/pierrot , ✅(7s) 
 sdkman/pomchecker , ✅(5s) 
 sdkman/quarkus , ✅(6s) 
 sdkman/sbt , ❌(smoke) 
 sdkman/schemacrawler , - 
 sdkman/skeletal , ✅(7s) 
 sdkman/spark , - 
 sdkman/toolkit , ✅(6s) 
 sdkman/visualvm , ✅(9s) 
 security/age , ✅(7s) 
 security/cfssl , ✅(7s) 
 security/dnstwist , ✅(56s) 
 security/easyrsa , - 
 security/ezcheck , ✅(6s) 
 security/gopass , ✅(8s) 
 security/gosop , ✅(7s) 
 security/grype , ✅(13s) 
 security/horcrux , ✅(6s) 
 security/kyanos , - 
 security/lego , ✅(17s) 
 security/lynis , - 
 security/mc , ✅(10s) 
 security/ncat , ❌(env_try) 
 security/nmap , - 
 security/nping , - 
 security/openssl , ✅(5s) 
 security/osv-scanner , ✅(10s) 
 security/pip-audit , ✅(66s) 
 security/rustscan , ✅(6s) 
 security/scapy , ✅(15s) 
 security/scorecard , ✅(6s) 
 security/skate , ✅(8s) 
 security/snyk , ✅(51s) 
 security/sodium , ❌(smoke) 
 security/stegcloak , ✅(42s) 
 security/tfsec , ✅(19s) 
 security/trivy , ✅(30s) 
 shell/direnv , ✅(7s) 
 shell/elvish , ✅(7s) 
 shell/murex , ✅(8s) 
 shell/nushell , ✅(29s) 
 shell/pathman , - 
 shell/powerline-go , ✅(6s) 
 shell/shellcheck , - 
 shell/shfmt , ✅(6s) 
 shell/xonsh , ✅(17s) 
 shell/zsh , ✅(9s) 
 shell/zx , ✅(6s) 
 ssh/assh , ✅(6s) 
 ssh/ssh-audit , ✅(12s) 
 ssh/xxh-xxh , ❌(smoke) 
 terminal/asciigraph , ✅(6s) 
 terminal/gum , ✅(8s) 
 terminal/kanban-python , ✅(58s) 
 terminal/oh-my-posh , ✅(8s) 
 terminal/starship , ✅(8s) 
 terminal/tmux , ✅(5s) 
 terminal/tmuxp , ✅(12s) 
 terminal/zellij , - 
 test/ffuf , ✅(7s) 
 test/goss , ✅(7s) 
 test/hey , ✅(7s) 
 test/hyperfine , ✅(6s) 
 test/lakefs , ✅(30s) 
 test/loadtest , ✅(40s) 
 test/locust , ✅(28s) 
 test/oha , ✅(8s) 
 test/py-spy , ✅(12s) 
 wasm/jco , ✅(28s) 
 wasm/wabt , ✅(10s) 
 wasm/wasm-tools , ✅(7s) 
 wasm/wasmedge , ✅(15s) 
 wasm/wasmer , ✅(55s) 
 wasm/wasmtime , ✅(10s) 
 web/buku , ❌(smoke) 
 web/webtorrent-cli , ✅(98s) 
 web-apitool/httpie , ✅(18s) 
 web-apitool/httpx , ❌(smoke) 
 web-apitool/hurl , ❌(env_try) 
 web-browser/browser-run , ✅(34s) 
 web-browser/capture-website-cli , ❌(smoke) 
 web-browser/ddgr , ✅(12s) 
 web-browser/gotty , - 
 web-browser/playwright , ✅(11s) 
 web-browser/trafilatura , ✅(21s) 
 web-browser/ttyd , ✅(5s) 
 web-infrastructure/caddy , ✅(11s) 
 web-infrastructure/dufs , ✅(5s) 
 web-infrastructure/hugo , ✅(13s) 
 web-infrastructure/ngxtop , ❌(smoke) 
 web-infrastructure/rustfs , ✅(40s) 
 web-infrastructure/serve , ✅(35s) 
 web-infrastructure/zola , ✅(10s) 
 web-template/hygen , ✅(17s) 
 web-template/mkdocs , ✅(15s) 
 web-template/yo , ✅(114s) 
