 multimedia/ffmpeg , ✅(3s) 
 multimedia/mystmd , ✅(3s) 
 multimedia/pageres-cli , ✅(11s) 
 multimedia/ascii-image-converter , ✅(2s) 
 multimedia/termsvg , ✅(3s) 
 multimedia/pdfcpu , ✅(3s) 
 multimedia/face_recognition , ✅(142s) 
 multimedia/beets , ✅(5s) 
 multimedia/editly , ❌(env_try) 
 multimedia/gifski , ✅(3s) 
 multimedia/carbon-now-cli , ❌(smoke) 
 multimedia/mermaid-cli , ✅(6s) 
 multimedia/ocrmypdf , ✅(16s) 
 multimedia/qpdf , - 
 multimedia/magick , ❌(smoke) 
 multimedia/cwebp , ✅(1s) 
 multimedia/themer , ✅(3s) 
 db/mycli , ✅(5s) 
 db/xlsxsql , ✅(2s) 
 db/mssql-cli , ❌(env_try) 
 db/mdtsql , ✅(2s) 
 db/pgcli , ❌(smoke) 
 db/iredis , ✅(5s) 
 db/usql , ✅(4s) 
 db/harlequin , ✅(10s) 
 db/psutilsql , ✅(2s) 
 db/sqlite3 , ✅(1s) 
 db/mysql , ✅(4s) 
 db/litecli , ✅(5s) 
 db/anidbcli , ✅(4s) 
 db/mkdocs , ✅(4s) 
 db/datasette , ✅(4s) 
 db/atuin , ✅(3s) 
 build/cmake , ✅(4s) 
 data/minify , ✅(4s) 
 data/unoconv , ❌(smoke) 
 data/7zz , ❌(env_try) 
 data/diffoscope , ❌(smoke) 
 data/7za , ✅(0s) 
 data/sd , ✅(2s) 
 data/yq , ✅(0s) 
 data/gojq , ✅(2s) 
 data/sq , ✅(2s) 
 data/horcrux , ✅(2s) 
 data/pandoc , ✅(3s) 
 data/jqp , ✅(4s) 
 data/sqlean , ✅(2s) 
 data/kopia , ✅(2s) 
 data/monolith , - 
 data/strip-json-comments-cli , ✅(4s) 
 data/pygments , ✅(14s) 
 data/ws4sqlite , ✅(2s) 
 data/nanoid , ✅(1s) 
 data/mackup , ✅(3s) 
 data/csview , - 
 data/jiq , - 
 data/fq , ✅(2s) 
 data/unidecode , ✅(2s) 
 data/fx , ✅(2s) 
 data/gomplate , ✅(3s) 
 data/marked , ✅(1s) 
 data/scapy , ✅(4s) 
 data/hcl2json , ✅(1s) 
 data/archiver , - 
 data/jless , ✅(2s) 
 data/rg , ✅(1s) 
 data/grex , ✅(1s) 
 data/decktape , ✅(8s) 
 data/jieba , ✅(4s) 
 data/typst , ✅(3s) 
 data/mdcat , - 
 data/dvc , ✅(33s) 
 data/shfmt , ✅(3s) 
 data/docsify-cli , ✅(3s) 
 data/readability-cli , ✅(3s) 
 data/gojo , ✅(2s) 
 data/upx , - 
 data/pdfminer , ❌(smoke) 
 data/trafilatura , ✅(28s) 
 data/migrate , ✅(5s) 
 data/skim , - 
 data/csvkit , ✅(5s) 
 data/sphinx , ✅(5s) 
 data/zstd , ✅(2s) 
 data/stylelint , ✅(5s) 
 data/ouch , - 
 data/brook , ✅(2s) 
 data/difft , ✅(1s) 
 data/deepl , ✅(3s) 
 data/trdsql , ✅(2s) 
 data/qrencode , ❌(smoke) 
 data/xsv , ✅(2s) 
 data/eslint , ❌(smoke) 
 data/lakefs , ✅(4s) 
 data/dasel , ❌(env_try) 
 data/dyff , ✅(2s) 
 data/marp-cli , ✅(7s) 
 data/jc , ✅(3s) 
 data/jq , ✅(0s) 
 data/gron , ✅(3s) 
 data/protobuf , ✅(2s) 
 data/restic , ✅(2s) 
 data/franc-cli , ✅(3s) 
 data/pypinyin , ❌(smoke) 
 data/ytt , ✅(6s) 
 data/fanyi , ✅(3s) 
 editor/micro , ✅(2s) 
 editor/bed , ✅(2s) 
 editor/nvim , ✅(2s) 
 editor/helix , ❌(env_try) 
 editor/sops , ✅(3s) 
 git/tig , ✅(2s) 
 git/delta , ✅(2s) 
 git/soft-serve , ✅(2s) 
 git/onefetch , - 
 git/gh , ✅(1s) 
 git/bit , ✅(3s) 
 git/git-chglog , ✅(2s) 
 git/lefthook , ✅(2s) 
 git/czg , ✅(3s) 
 git/lazygit , ✅(2s) 
 git/gitui , ❌(env_try) 
 git/gix , - 
 git/tea , ✅(2s) 
 git/gitea , ✅(6s) 
 git/glab , ✅(3s) 
 git/gitleaks , ✅(2s) 
 git/pre-commit , ✅(13s) 
